id_projeto;id_atividade;servico_atividade;nome_servico;inicio_linha_base;fim_linha_base;nome_pavimento;posicao_pavimento
15615;14432272;MOB - MOVIMENTO DE TERRA;Limpeza do terreno;2023-02-01 00:00:00 UTC;2023-04-27 23:59:59 UTC;BL 01-TERREO;92
15615;14432272;MOB - MOVIMENTO DE TERRA;Terraplenagem;2023-02-01 00:00:00 UTC;2023-04-27 23:59:59 UTC;BL 01-TERREO;92
15615;14432272;MOB - MOVIMENTO DE TERRA;Movimento de terra;2023-02-01 00:00:00 UTC;2023-04-27 23:59:59 UTC;BL 01-TERREO;92
15615;14432272;MOB - MOVIMENTO DE TERRA;Bota Fora;2023-02-01 00:00:00 UTC;2023-04-27 23:59:59 UTC;BL 01-TERREO;92
15615;14432162;MOB - MOBILIZAÇÃO;Canteiro de Obra;2023-03-01 00:00:00 UTC;2023-04-12 23:59:59 UTC;BL 01-TERREO;92
15615;14432162;MOB - MOBILIZAÇÃO;Área de Vivência;2023-03-01 00:00:00 UTC;2023-04-12 23:59:59 UTC;BL 01-TERREO;92
15615;13693761;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-07-10 00:00:00 UTC;2023-07-18 23:59:59 UTC;BL 04-TERREO;68
15615;13693761;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-07-10 00:00:00 UTC;2023-07-18 23:59:59 UTC;BL 04-TERREO;68
15615;13693761;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-07-10 00:00:00 UTC;2023-07-18 23:59:59 UTC;BL 04-TERREO;68
15615;14432542;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-07-13 00:00:00 UTC;2023-07-13 23:59:59 UTC;BL 05-TERREO;60
15615;14432542;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-07-14 00:00:00 UTC;2023-07-19 23:59:59 UTC;BL 05-TERREO;60
15615;14432542;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-07-20 00:00:00 UTC;2023-07-20 23:59:59 UTC;BL 05-TERREO;60
15615;14432554;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-07-21 00:00:00 UTC;2023-07-21 23:59:59 UTC;BL 03-TERREO;76
15615;14432554;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-07-24 00:00:00 UTC;2023-07-26 23:59:59 UTC;BL 03-TERREO;76
15615;14432554;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-07-27 00:00:00 UTC;2023-07-27 23:59:59 UTC;BL 03-TERREO;76
15615;14432572;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-08-10 00:00:00 UTC;2023-08-10 23:59:59 UTC;BL 08 -TERREO;36
15615;14432572;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-08-11 00:00:00 UTC;2023-08-15 23:59:59 UTC;BL 08 -TERREO;36
15615;14432572;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-08-16 00:00:00 UTC;2023-08-16 23:59:59 UTC;BL 08 -TERREO;36
15615;14432624;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-08-21 00:00:00 UTC;2023-08-21 23:59:59 UTC;BL 01-TERREO;92
15615;14432624;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-08-22 00:00:00 UTC;2023-08-28 23:59:59 UTC;BL 01-TERREO;92
15615;14432624;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-08-29 00:00:00 UTC;2023-08-29 23:59:59 UTC;BL 01-TERREO;92
15615;14432625;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-08-30 00:00:00 UTC;2023-08-30 23:59:59 UTC;BL 02-TERREO;84
15615;14432625;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-08-31 00:00:00 UTC;2023-09-04 23:59:59 UTC;BL 02-TERREO;84
15615;14432625;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-09-05 00:00:00 UTC;2023-09-05 23:59:59 UTC;BL 02-TERREO;84
15615;14434504;EST-ESTRUTURA;ARMAÇÃO;2023-09-11 00:00:00 UTC;2023-09-13 23:59:59 UTC;BL 04-TERREO;68
15615;14434504;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-09-14 00:00:00 UTC;2023-09-14 23:59:59 UTC;BL 04-TERREO;68
15615;14434504;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-09-15 00:00:00 UTC;2023-09-20 23:59:59 UTC;BL 04-TERREO;68
15615;14434504;EST-ESTRUTURA;CONCRETAGEM;2023-09-21 00:00:00 UTC;2023-09-21 23:59:59 UTC;BL 04-TERREO;68
15615;14432646;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-09-06 00:00:00 UTC;2023-09-06 23:59:59 UTC;BL 06-TERREO;52
15615;14432646;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-09-08 00:00:00 UTC;2023-09-19 23:59:59 UTC;BL 06-TERREO;52
15615;14432646;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-09-20 00:00:00 UTC;2023-09-20 23:59:59 UTC;BL 06-TERREO;52
15615;14434538;EST-ESTRUTURA;ARMAÇÃO;2023-09-22 00:00:00 UTC;2023-09-22 23:59:59 UTC;BL 04 - PAV 1;67
15615;14434538;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-09-25 00:00:00 UTC;2023-09-25 23:59:59 UTC;BL 04 - PAV 1;67
15615;14434538;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-09-26 00:00:00 UTC;2023-09-26 23:59:59 UTC;BL 04 - PAV 1;67
15615;14434538;EST-ESTRUTURA;CONCRETAGEM;2023-09-27 00:00:00 UTC;2023-09-27 23:59:59 UTC;BL 04 - PAV 1;67
15615;14434539;EST-ESTRUTURA;ARMAÇÃO;2023-09-28 00:00:00 UTC;2023-09-28 23:59:59 UTC;BL 04 - PAV 2;66
15615;14434539;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-09-29 00:00:00 UTC;2023-09-29 23:59:59 UTC;BL 04 - PAV 2;66
15615;14434539;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-10-02 00:00:00 UTC;2023-10-02 23:59:59 UTC;BL 04 - PAV 2;66
15615;14434539;EST-ESTRUTURA;CONCRETAGEM;2023-10-03 00:00:00 UTC;2023-10-03 23:59:59 UTC;BL 04 - PAV 2;66
15615;14434540;EST-ESTRUTURA;ARMAÇÃO;2023-10-09 00:00:00 UTC;2023-10-09 23:59:59 UTC;BL 04 - PAV 3;65
15615;14434540;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-10-10 00:00:00 UTC;2023-10-10 23:59:59 UTC;BL 04 - PAV 3;65
15615;14434540;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-10-11 00:00:00 UTC;2023-10-11 23:59:59 UTC;BL 04 - PAV 3;65
15615;14434540;EST-ESTRUTURA;CONCRETAGEM;2023-10-13 00:00:00 UTC;2023-10-13 23:59:59 UTC;BL 04 - PAV 3;65
15615;14432649;FUN- FUNDAÇÃO RASA;MELHORAMENTO DE SOLO;2023-09-21 00:00:00 UTC;2023-09-21 23:59:59 UTC;BL 07 -TERREO;44
15615;14432649;FUN- FUNDAÇÃO RASA;RADIER PROTENDIDO;2023-09-22 00:00:00 UTC;2023-10-05 23:59:59 UTC;BL 07 -TERREO;44
15615;14432649;FUN- FUNDAÇÃO RASA;LAJE FALSA;2023-10-06 00:00:00 UTC;2023-10-06 23:59:59 UTC;BL 07 -TERREO;44
15615;14434541;EST-ESTRUTURA;ARMAÇÃO;2023-10-17 00:00:00 UTC;2023-10-17 23:59:59 UTC;BL 04 - PAV 4;64
15615;14434541;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-10-18 00:00:00 UTC;2023-10-18 23:59:59 UTC;BL 04 - PAV 4;64
15615;14434541;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-10-19 00:00:00 UTC;2023-10-19 23:59:59 UTC;BL 04 - PAV 4;64
15615;14434541;EST-ESTRUTURA;CONCRETAGEM;2023-10-20 00:00:00 UTC;2023-10-20 23:59:59 UTC;BL 04 - PAV 4;64
15615;14434542;EST-ESTRUTURA;ARMAÇÃO;2023-10-25 00:00:00 UTC;2023-10-25 23:59:59 UTC;BL 04 - PAV 5;63
15615;14434542;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-10-26 00:00:00 UTC;2023-10-26 23:59:59 UTC;BL 04 - PAV 5;63
15615;14434542;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-10-27 00:00:00 UTC;2023-10-27 23:59:59 UTC;BL 04 - PAV 5;63
15615;14434542;EST-ESTRUTURA;CONCRETAGEM;2023-10-30 00:00:00 UTC;2023-10-30 23:59:59 UTC;BL 04 - PAV 5;63
15615;14434543;EST-ESTRUTURA;ARMAÇÃO;2023-11-06 00:00:00 UTC;2023-11-06 23:59:59 UTC;BL 04 - PAV 6;62
15615;14434543;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-11-07 00:00:00 UTC;2023-11-07 23:59:59 UTC;BL 04 - PAV 6;62
15615;14434543;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-11-08 00:00:00 UTC;2023-11-08 23:59:59 UTC;BL 04 - PAV 6;62
15615;14434543;EST-ESTRUTURA;CONCRETAGEM;2023-11-09 00:00:00 UTC;2023-11-09 23:59:59 UTC;BL 04 - PAV 6;62
15615;14434544;EST-ESTRUTURA;ARMAÇÃO;2023-11-21 00:00:00 UTC;2023-11-21 23:59:59 UTC;BL 04 - PAV 7;61
15615;14434544;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-11-22 00:00:00 UTC;2023-11-22 23:59:59 UTC;BL 04 - PAV 7;61
15615;14434544;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-11-23 00:00:00 UTC;2023-11-23 23:59:59 UTC;BL 04 - PAV 7;61
15615;14434544;EST-ESTRUTURA;CONCRETAGEM;2023-11-24 00:00:00 UTC;2023-11-24 23:59:59 UTC;BL 04 - PAV 7;61
15615;14435206;EST-ESTRUTURA;ARMAÇÃO;2023-11-28 00:00:00 UTC;2023-11-28 23:59:59 UTC;BL 05-TERREO;60
15615;14435206;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-11-29 00:00:00 UTC;2023-11-29 23:59:59 UTC;BL 05-TERREO;60
15615;14435206;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-11-30 00:00:00 UTC;2023-11-30 23:59:59 UTC;BL 05-TERREO;60
15615;14435206;EST-ESTRUTURA;CONCRETAGEM;2023-12-01 00:00:00 UTC;2023-12-01 23:59:59 UTC;BL 05-TERREO;60
15615;14435208;EST-ESTRUTURA;ARMAÇÃO;2023-12-04 00:00:00 UTC;2023-12-04 23:59:59 UTC;BL 05 - PAV 1;59
15615;14435208;EST-ESTRUTURA;INSTALAÇÕES ELETRICAS E HIDRAULICAS;2023-12-05 00:00:00 UTC;2023-12-05 23:59:59 UTC;BL 05 - PAV 1;59
15615;14435208;EST-ESTRUTURA;MOPNTAGEM DE FORMA;2023-12-06 00:00:00 UTC;2023-12-06 23:59:59 UTC;BL 05 - PAV 1;59
15615;14435208;EST-ESTRUTURA;CONCRETAGEM;2023-12-07 00:00:00 UTC;2023-12-07 23:59:59 UTC;BL 05 - PAV 1;59
