id_medicao;data_medicao;id_projeto
219167;2025-05-01;15257
217666;2025-04-24;15257
216435;2025-04-17;15257
214180;2025-04-10;15257
212574;2025-04-03;15257
201767;2025-03-27;15257
196541;2025-03-20;15257
194610;2025-03-13;15257
190030;2025-02-27;15257
189355;2025-02-20;15257
188075;2025-02-13;15257
184613;2025-02-06;15257
183406;2025-01-30;15257
182395;2025-01-23;15257
180960;2025-01-16;15257
179338;2025-01-09;15257
176053;2024-12-19;15257
175129;2024-12-12;15257
174092;2024-12-05;15257
172433;2024-11-28;15257
170591;2024-11-21;15257
168995;2024-11-14;15257
167911;2024-11-07;15257
166286;2024-10-31;15257
165011;2024-10-24;15257
163658;2024-10-17;15257
161650;2024-10-08;15257
160110;2024-09-26;15257
158450;2024-09-19;15257
157193;2024-09-12;15257
155706;2024-09-05;15257
154260;2024-08-29;15257
152978;2024-08-22;15257
151652;2024-08-09;15257
151056;2024-07-31;15257
148996;2024-07-25;15257
144347;2024-06-28;15257
142132;2024-06-20;15257
141798;2024-06-19;15257
139374;2024-06-05;15257
138293;2024-05-23;15257
137057;2024-05-17;15257
125003;2024-03-12;15257
122708;2024-03-09;15257
121021;2024-02-09;15257
119329;2024-01-31;15257
119324;2023-12-31;15257
119316;2023-11-30;15257
119296;2023-10-31;15257
119283;2023-09-30;15257
119643;2023-08-31;15257
395046;2026-01-05;15615
393480;2025-12-20;15615
391926;2025-12-16;15615
391048;2025-12-12;15615
389167;2025-12-05;15615
386773;2025-11-28;15615
384409;2025-11-21;15615
382614;2025-11-14;15615
379681;2025-11-07;15615
377747;2025-10-31;15615
375638;2025-10-27;15615
373103;2025-10-17;15615
370910;2025-10-10;15615
364450;2025-09-26;15615
361450;2025-09-19;15615
359534;2025-09-12;15615
356810;2025-09-05;15615
354583;2025-08-30;15615
350150;2025-08-22;15615
348470;2025-08-16;15615
346077;2025-08-08;15615
343662;2025-08-01;15615
340639;2025-07-25;15615
339123;2025-07-18;15615
254361;2025-07-11;15615
248855;2025-07-10;15615
247430;2025-07-06;15615
244184;2025-06-27;15615
241253;2025-06-18;15615
240359;2025-06-16;15615
238053;2025-06-06;15615
235120;2025-05-30;15615
230981;2025-05-23;15615
224093;2025-05-16;15615
221835;2025-05-09;15615
219434;2025-04-30;15615
218044;2025-04-25;15615
215914;2025-04-17;15615
214289;2025-04-11;15615
203291;2025-04-04;15615
201368;2025-03-28;15615
196198;2025-03-21;15615
194341;2025-03-14;15615
192922;2025-03-08;15615
190944;2025-02-28;15615
188970;2025-02-21;15615
188545;2025-02-19;15615
187551;2025-02-14;15615
185802;2025-02-07;15615
183551;2025-01-31;15615
