id_projeto;base;base_cost;base_duration;base_end_at;base_start_at;color;delay;delta;expected;expected_duration;expected_end_at;expected_start_at;idp;name;name_x;name_y;position;realized;service_id;total_cost
15257;0.0;0.0;27.0;2023-08-22;2023-07-26;#274702;9.0;-3.0;1.0;30.0;2023-08-31;2023-08-01;0.0;DEM PAV - DEMOLIÇÃO PAVIMENTAÇÃO;DEM PAV - DEMOLIÇÃO PAVIMENTAÇÃO;DEM PAV - DEMOLIÇÃO PAVIMENTAÇÃO;1;1.0;1807358;2250517.9366132054
15257;0.0;0.0;232.0;2024-07-10;2023-11-21;#000000;201.0;-201.0;1.0;433.0;2025-01-27;2023-11-21;0.0;DEM R.E. - DEMOLIÇÃO REDE DE ESGOTO (INFRA);DEM R.E. - DEMOLIÇÃO REDE DE ESGOTO (INFRA);DEM R.E. - DEMOLIÇÃO REDE DE ESGOTO (INFRA);2;1.0;1808035;534613.1766132053
15257;0.0;0.0;226.0;2024-07-04;2023-11-21;#28353D;207.0;-197.0;1.0;423.0;2025-01-27;2023-12-01;0.0;DEM A.P. - DEMOLIÇÃO ÁGUA POTÁVEL (INFRA);DEM A.P. - DEMOLIÇÃO ÁGUA POTÁVEL (INFRA);DEM A.P. - DEMOLIÇÃO ÁGUA POTÁVEL (INFRA);3;1.0;1808037;534613.1766132053
15257;0.0;0.0;56.0;2024-07-01;2024-05-06;#35806F;-104.0;55.0;1.0;1.0;2024-03-19;2024-03-18;0.0;DEM RES. - DEMOLIÇÃO RESERVATÓRIO ÁGUA POTÁVEL (INFRA);DEM RES. - DEMOLIÇÃO RESERVATÓRIO ÁGUA POTÁVEL (INFRA);DEM RES. - DEMOLIÇÃO RESERVATÓRIO ÁGUA POTÁVEL (INFRA);4;1.0;1808038;60023.3475
15257;0.0;0.0;28.0;2024-09-02;2024-08-05;#E4061B;18.0;-63.0;1.0;91.0;2024-09-20;2024-06-21;0.0;FORMA RESERVATÓRIO ÁGUA POTÁVEL (INFRA);FORMA RESERVATÓRIO ÁGUA POTÁVEL (INFRA);FORMA RESERVATÓRIO ÁGUA POTÁVEL (INFRA);5;1.0;1808039;340132.3025
15257;0.0;0.0;226.0;2024-07-04;2023-11-21;#274702;267.0;-265.0;1.00000001;491.0;2025-03-28;2023-11-23;0.0;REDE ÁGUA POTÁVEL (INFRA);REDE ÁGUA POTÁVEL (INFRA);REDE ÁGUA POTÁVEL (INFRA);6;1.0;1808041;465835.15
15257;0.0;0.0;226.0;2024-07-04;2023-11-21;#6806B5;246.0;-264.0;0.99999999;490.0;2025-03-07;2023-11-03;0.0;REDE DE ESGOTO (INFRA);REDE DE ESGOTO (INFRA);REDE DE ESGOTO (INFRA);7;1.0;1808042;1980807.27
15257;0.0;0.0;87.0;2024-08-01;2024-05-06;#513567;267.0;-403.0;0.99999999;490.0;2025-04-25;2023-12-22;0.0;PAVIMENTAÇÃO (INFRA);PAVIMENTAÇÃO (INFRA);PAVIMENTAÇÃO (INFRA);8;0.9312;1808043;9465691.46
15257;0.0;0.0;38.0;2023-11-16;2023-10-09;#206D9F;83.0;-152.0;1.0;190.0;2024-02-07;2023-08-01;0.0;DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);DEM/REM OUTROS ITENS (CASA) - DEMOLIÇÃO/REMOÇÃO OUTROS ITENS (CASA);9;1.0;1808044;237008.1600092371
15257;0.0;0.0;72.0;2024-01-11;2023-10-31;#B18706;-64.0;-27.0;1.0;99.0;2023-11-08;2023-08-01;0.0;DEM COB. - DEMOLIÇÃO COBERTURA;DEM COB. - DEMOLIÇÃO COBERTURA;DEM COB. - DEMOLIÇÃO COBERTURA;10;1.0;1808045;187986.9200120314
