id_projeto;base;base_cost;base_duration;base_end_at;base_start_at;delay;delta;expected;expected_duration;expected_end_at;expected_start_at;floor_id;idp;name;name_x;name_y;position;realized;replication_group;total_cost
15257;1.0;192479.3755666556;125.0;2024-05-29;2024-01-25;300.0;-412.0;1.0;537.0;2025-03-25;2023-10-05;616277;0.9;QD 04 Casa Existente - Mód II;QD 04 Casa Existente - Mód II;QD 04 Casa Existente - Mód II;101;0.90254091;CASAS EXISTENTES - MÓD II;94938.1853768559
15257;1.0;289352.9651464331;128.0;2024-06-07;2024-01-31;300.0;-417.0;1.0;545.0;2025-04-03;2023-10-06;616279;0.98;QD 06 Casa Existente - Mód II;QD 06 Casa Existente - Mód II;QD 06 Casa Existente - Mód II;100;0.98258943;CASAS EXISTENTES - MÓD II;205011.9237417818
15257;1.0;289352.9651464332;126.0;2024-06-19;2024-02-14;293.0;-421.0;1.0;547.0;2025-04-08;2023-10-09;616281;0.98;QD 08 Casa Existente - Mód II;QD 08 Casa Existente - Mód II;QD 08 Casa Existente - Mód II;99;0.98258943;CASAS EXISTENTES - MÓD II;205011.9237417818
15257;1.0;338373.335729096;148.0;2024-07-23;2024-02-26;267.0;-407.0;1.0;555.0;2025-04-16;2023-10-09;616283;0.98;QD 10 Casa Existente - Mód II;QD 10 Casa Existente - Mód II;QD 10 Casa Existente - Mód II;98;0.98170899;CASAS EXISTENTES - MÓD II;260711.8875254107
15257;1.0;192479.3755666556;145.0;2024-07-30;2024-03-07;261.0;-410.0;1.0;555.0;2025-04-17;2023-10-10;616285;0.99;QD 12 Casa Existente - Mód II;QD 12 Casa Existente - Mód II;QD 12 Casa Existente - Mód II;97;0.98736747;CASAS EXISTENTES - MÓD II;94938.1853768559
15257;1.0;289352.9651464331;127.0;2024-05-21;2024-01-15;267.0;-421.0;1.0;548.0;2025-02-12;2023-08-14;616354;0.99;QD 41 Casa Existente - Mód II;QD 41 Casa Existente - Mód II;QD 41 Casa Existente - Mód II;96;0.99007597;CASAS EXISTENTES - MÓD II;205011.9237417818
15257;1.0;386226.5546575901;131.0;2024-05-13;2024-01-03;297.0;-438.0;1.0;569.0;2025-03-06;2023-08-15;616347;0.98;QD 39 Casa Existente - Mód II;QD 39 Casa Existente - Mód II;QD 39 Casa Existente - Mód II;95;0.98114976;CASAS EXISTENTES - MÓD II;315085.6617837936
15257;1.0;192479.3755666556;133.0;2024-05-03;2023-12-22;308.0;-434.0;1.0;567.0;2025-03-07;2023-08-18;616345;0.99;QD 37 Casa Existente - Mód II;QD 37 Casa Existente - Mód II;QD 37 Casa Existente - Mód II;94;0.98736747;CASAS EXISTENTES - MÓD II;94938.1853768559
15257;1.0;386226.55465759;136.0;2024-04-26;2023-12-12;322.0;-435.0;1.0;571.0;2025-03-14;2023-08-21;616343;0.98;QD 35 Casa Existente - Mód II;QD 35 Casa Existente - Mód II;QD 35 Casa Existente - Mód II;93;0.98114976;CASAS EXISTENTES - MÓD II;315085.6617837935
15257;1.0;338373.335729096;123.0;2024-04-01;2023-11-30;353.0;-451.0;1.0;574.0;2025-03-20;2023-08-24;616341;0.98;QD 33 Casa Existente - Mód II;QD 33 Casa Existente - Mód II;QD 33 Casa Existente - Mód II;92;0.98170899;CASAS EXISTENTES - MÓD II;260711.8875254107
