id_tarefa;titulo_tarefa;nome_coluna;id_checklist;descricao_checklist;data_criacao_checklist;data_conclusao;concluido
166785;CHEGADA DA FORMA METÁLICA - BKS;A Iniciar;259336;FECHAMENTO DA PROPOSTA DA BKS;2024-07-31T10:58:08Z;2024-08-21T17:36:57Z;True
166785;CHEGADA DA FORMA METÁLICA - BKS;A Iniciar;259335;CHEGA DAS FORMAS DO GRAN RESERVA QUE ESTÃO SENDO LIMPAS NO ÁGUAS;2024-07-31T10:58:08Z;;False
166785;CHEGADA DA FORMA METÁLICA - BKS;A Iniciar;259337;CHEGA DA DAS PEÇAS ADICIONAIS DA BKS;2024-07-31T10:59:48Z;;False
167631;RETOMADA - SERVIÇO TERRAPLENAGEM;A Iniciar;262314;RETOMADA;2024-08-06T14:42:18Z;;False
269725;ACABAMENTO ELÉTRICO - MAT;A Iniciar;517313;SC;2025-11-14T17:24:42Z;;False
269725;ACABAMENTO ELÉTRICO - MAT;A Iniciar;517314;Pedido;2025-11-14T17:24:42Z;;False
168866;CHEGADA MATERIAL;Em andamento;266803;HIDRO (ESG + ÁGUA);2024-08-13T19:25:31Z;2024-08-28T16:21:26Z;True
168866;CHEGADA MATERIAL;Em andamento;266804;TELECOM;2024-08-13T19:25:32Z;2024-08-28T16:21:24Z;True
168866;CHEGADA MATERIAL;Em andamento;266802;ELÉTRICA;2024-08-13T19:25:31Z;2024-08-28T16:21:26Z;True
168866;CHEGADA MATERIAL;Em andamento;266805;INCÊNDIO;2024-08-13T19:26:45Z;;False
168866;CHEGADA MATERIAL;Em andamento;266806;GÁS;2024-08-13T19:27:05Z;;False
245147;GANCHO DE ANCORAGEM;Em andamento;517638;Projeto;2025-11-17T13:29:02Z;2025-12-15T13:15:48Z;True
245147;GANCHO DE ANCORAGEM;Em andamento;517639;SC;2025-11-17T13:29:02Z;;False
245147;GANCHO DE ANCORAGEM;Em andamento;517640;Pedido;2025-11-17T13:29:02Z;;False
266276;PORTA MADEIRA - MDO -  SC74832;Em andamento;517317;SC;2025-11-14T17:26:39Z;2026-02-03T17:35:05Z;True
266276;PORTA MADEIRA - MDO -  SC74832;Em andamento;517318;Contrato;2025-11-14T17:26:39Z;;False
267960;GÁS - MT + MDO - SC 73418;Em andamento;522868;SC;2025-12-01T14:07:46Z;2026-01-16T16:11:55Z;True
267960;GÁS - MT + MDO - SC 73418;Em andamento;522869;Pedido;2025-12-01T14:07:46Z;;False
269732;RESERVATÓRIO INFERIOR;Em andamento;517323;Projeto;2025-11-14T17:38:14Z;;False
269732;RESERVATÓRIO INFERIOR;Em andamento;517324;SC;2025-11-14T17:38:14Z;;False
271160;GUARITA - SC 73257;Em andamento;519687;SC;2025-11-25T18:14:12Z;2025-12-18T15:43:39Z;True
271160;GUARITA - SC 73257;Em andamento;519688;Pedido;2025-11-25T18:14:12Z;;False
271165;INST. PROVISÓRIAS - MO - SC 73871;Em andamento;519692;SC;2025-11-25T18:20:08Z;2026-01-13T17:07:01Z;True
271165;INST. PROVISÓRIAS - MO - SC 73871;Em andamento;519693;Pedido;2025-11-25T18:20:08Z;;False
271169;EQUIPE ENGENHARIA;Em andamento;519699;Engenheiro;2025-11-25T18:25:18Z;2026-03-06T19:57:41Z;True
271169;EQUIPE ENGENHARIA;Em andamento;519700;Analista;2025-11-25T18:25:19Z;2026-03-06T19:57:43Z;True
271169;EQUIPE ENGENHARIA;Em andamento;519701;Assistente/Estagiário;2025-11-25T18:25:19Z;;False
271169;EQUIPE ENGENHARIA;Em andamento;519702;TST;2025-11-25T18:25:19Z;2026-03-06T19:58:00Z;True
