nome_coluna;id_tarefa;titulo_tarefa;data_criacao_tarefa;total_minhas_tarefas;total_tarefas_semana;total_tarefas_atrasadas
A Iniciar;166785;CHEGADA DA FORMA METÁLICA - BKS;2024-07-31T10:51:28Z;0;0;0
A Iniciar;167631;RETOMADA - SERVIÇO TERRAPLENAGEM;2024-08-06T14:42:18Z;0;0;0
A Iniciar;179798;COMPRA ELEVADORES;2024-10-07T14:43:43Z;0;0;0
A Iniciar;179799;ESQUADRIA ALUMÍNIO;2024-10-07T14:47:59Z;0;0;0
A Iniciar;179828;LIMPEZA FINAL OBRA;2024-10-07T16:30:57Z;0;0;0
A Iniciar;179830;PRUMADAS (esgoto, drenagem, gás e água fria);2024-10-07T16:33:04Z;0;0;0
A Iniciar;179833;ENFIAÇÃO ELÉTRICA;2024-10-07T16:36:45Z;0;0;0
A Iniciar;181545;MASSA REGULARIZADORA;2024-10-17T12:10:41Z;0;0;0
A Iniciar;181548;ALVENARIA;2024-10-17T12:16:09Z;0;0;0
A Iniciar;181558;ENFIAÇÃO ELÉTRICA;2024-10-17T12:26:56Z;0;0;0
A Iniciar;181561;LOUÇAS;2024-10-17T12:28:26Z;0;0;0
A Iniciar;181562;LIMPEZA OBRA;2024-10-17T12:30:31Z;0;0;0
A Iniciar;181565;PINTURA INTERNA;2024-10-17T12:33:44Z;0;0;0
A Iniciar;181588;FORMA PRONTA (Fundação e Estrutura);2024-10-17T13:23:05Z;0;0;0
A Iniciar;181589;ESCORAMENTO/CIMBRAMENTO;2024-10-17T13:27:49Z;0;0;0
A Iniciar;181592;CREMALHEIRA;2024-10-17T13:31:11Z;0;0;0
A Iniciar;181596;ESQUADRIA ALUMÍNIO;2024-10-17T13:38:44Z;0;0;0
A Iniciar;181601;GANCHO SEGURANÇA COBERTURA;2024-10-17T13:41:20Z;0;0;0
A Iniciar;181604;INSTALADORA;2024-10-17T13:43:56Z;0;0;0
A Iniciar;181611;PRUMADA (Esgoto, Água Fria e Drenagem);2024-10-17T13:49:12Z;0;0;0
A Iniciar;181617;ELEVADORES;2024-10-17T13:53:56Z;0;0;0
A Iniciar;181625;REDE DE SEGURANÇA - SLQA;2024-10-17T13:59:10Z;0;0;0
A Iniciar;181627;PASTILHA FACHADA;2024-10-17T14:01:13Z;0;0;0
A Iniciar;181633;ALVENARIA BLOCO CERÂMICO;2024-10-17T14:06:39Z;0;0;0
A Iniciar;181640;LIMPEZA FINAL;2024-10-17T14:13:57Z;0;0;0
A Iniciar;216088;Inicio;2025-05-13T19:24:18Z;0;0;0
A Iniciar;267813;MATERIAL PARA EXECUÇÃO DA ESTRUTURA DA TORRE A;2025-11-10T13:30:21Z;0;0;0
A Iniciar;267833;MATERIAL PARA EXECUÇÃO DA ESTRUTURA DA TORRE E;2025-11-10T14:38:35Z;0;0;0
A Iniciar;269725;ACABAMENTO ELÉTRICO - MAT;2025-11-14T17:23:50Z;0;0;0
A Iniciar;270442;AQUISIÇÃO DE MATERIAL PARA ESTRUTURA;2025-11-19T17:08:27Z;0;0;0
A Iniciar;270443;AQUISIÇÃO DE MATERIAL PARA ESTRUTURA;2025-11-19T17:08:27Z;0;0;0
A Iniciar;270444;AQUISIÇÃO DE MATERIAL PARA ESTRUTURA;2025-11-19T17:08:27Z;0;0;0
