id_relatorio;nome_relatorio;id_projeto
35192;VANETE ALMEIDA;15257
34691;GRAND RESERVA;15615
44532;Grand Reserva - PLS;15615
40929;Reserva Golden;22099
43479;Reserva Golden - PLS;22099
43425;Stella Maris - Sienge;25015
43733;Stella Maris - PLS BB;25015
43316;Box Studio;25017
43369;PLS;25017
43395;RESERVA DOS PÁSSAROS SIENGE;25018
43432;Res dos Pássaros_PLS;25018
45093;BENEDITO;25640
44909;Link Office;25641
46891;GRAND PLATINUM SIENGE;25644
47078;PLS;25644
54751;RESERVA DO BOSQUE;28377
54765;RESERVA DO BOSQUE;28377
54390;SITGES SIENGE;28378
54435;SANTANDER;28378
54769;PLS - GRAND PALAZZO;29362
57463;GRAND PALAZZO - vertical;29362
54766;DOM ANTONIO;29363
56469;PLS DOM ANTONIO;29363
54639;MANOEL;31712
55352;OBSOLETO;31712
55353;OBSOLETO;31712
55354;PLS MANOEL;31712
55351;ROSA PLS;31713
64202;ROSA DA FONSECA - SIENGE;31713
56423;PLS PRATA - MÓD 1;31849
56425;PLS PRATA - MÓD 2;31849
56704;ORÇAMENTO PRATA - SIENGE;31849
64560;ORÇAMENTO RENASCER - SIENGE;33288
64579;PLS RENASCER;33288
74207;ORÇAMENTO - SIENGE;35103
74205;Orçamento - Sienge;35125
71554;MORADA DO TAQUARI - OBRA;35482
72819;MORADA DO TAQUARI - PLS;35482
72208;NOVO CRUZEIRO I E II;35681
72838;PLS - NOVO CRUZEIRO I E II;35681
74657;Orçamento - Sienge;37564
